station_file,source,station_name,district,lat,lon,monthly_points,mean_level,trend_slope_m_per_year,trend_pval,mk_pval,anomaly_months
Anantapur_Agali_Agali_Cgwb_Manual_Batrepally_2013dw.xlsx,Manual,,ANANTAPUR,14.2508,78.1803,59,5.93222220076455,0.5671827077127464,0.622602859343769,0.3247123843638571,2
Anantapur_Agali_Agali_Cgwb_Manual_Belluguppa-ew.xlsx,Manual,,ANANTAPUR,14.7072,77.1297,13,8.2725,6.5159999999999965,0.837744637747894,0.7340951823194757,0
Anantapur_Agali_Agali_Cgwb_Manual_Belvandi_(bk)_pz.xlsx,Manual,,ANANTAPUR,18.7258,74.5942,258,10.128333381811778,1.276087783104382,0.002769069466525904,0.006846051552165777,0
Anantapur_Agali_Agali_Cgwb_Manual_Bhalad.xlsx,Manual,,ANANTAPUR,32.1931,75.9944,219,1.8293750040465966,-0.22112637438330346,0.04245361398370071,0.012319956150177447,3
Anantapur_Agali_Agali_Cgwb_Manual_Bhanas_hivre.xlsx,Manual,,ANANTAPUR,19.4894,74.9672,75,3.6399999999999997,0.3033684210526314,0.7874954194932523,0.7795660645811546,1
Anantapur_Agali_Agali_Cgwb_Manual_Bhanas_hivre_pz.xlsx,Manual,,ANANTAPUR,19.4842,74.0886,81,7.181666632493337,0.5462936954898427,0.8926175036957531,0.837011475105446,1
Anantapur_Agali_Agali_Cgwb_Manual_Bharmar.xlsx,Manual,,ANANTAPUR,32.1792,75.9492,219,10.450307692014254,-0.520982514561473,0.07872590752745913,0.06830853679511883,3
Anantapur_Agali_Agali_Cgwb_Manual_Bhitkewadi.xlsx,Manual,,ANANTAPUR,18.6444,74.8967,313,6.408888864517212,-0.020292875999020275,0.8519190003682573,0.2632400864660114,6
Anantapur_Agali_Agali_Cgwb_Manual_Bhukarka1.xlsx,Manual,,ANANTAPUR,29.2333,74.75,25,23.982499837875366,2.5799982888357986,0.27387971989201165,0.21602058095545873,1
Anantapur_Agali_Agali_Cgwb_Manual_Bilji_(umta).xlsx,Manual,,ANANTAPUR,18.5347,72.9833,313,2.3600000057761608,0.02645577282570763,0.6169785857979161,0.6854029647819324,5
